path,has_ordered_layout,has_ungrouped_widgets,has_all_title_case_groups,has_overview_section,about_section_contains_text,about_section_contains_banner_img,total_query_values,query_values_have_timeseries_background,query_values_have_conditional_formats,total_widgets_legends,widgets_legends_shown
ecs_fargate/assets/dashboards/amazon_fargate_overview.json,False,True,True,False,False,False,0,0,0,0,0
cockroachdb/assets/dashboards/overview.json,True,True,False,False,False,True,9,0,0,15,15
hazelcast/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
cri/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
sap_hana/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
hivemq/assets/dashboards/hivemq.json,False,True,True,False,False,False,0,0,0,0,0
pgbouncer/assets/dashboards/pgbouncer_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
kubernetes/assets/dashboards/kubernetes_clusters.json,True,False,False,True,False,True,46,0,35,39,10
kubernetes/assets/dashboards/kubernetes_cpu_memory.json,True,True,False,False,False,False,0,0,0,4,2
kubernetes/assets/dashboards/kubernetes_jobs.json,True,False,False,True,False,False,3,0,3,17,16
kubernetes/assets/dashboards/kubernetes_dashboard.json,True,False,False,True,False,True,15,0,7,19,0
kubernetes/assets/dashboards/kubernetes_statefulsets.json,False,True,True,False,False,False,0,0,0,0,0
kubernetes/assets/dashboards/kubernetes_replicasets.json,False,True,True,False,False,False,0,0,0,0,0
kubernetes/assets/dashboards/kubernetes_daemonsets.json,False,True,True,False,False,False,0,0,0,0,0
kubernetes/assets/dashboards/kubernetes_deployments.json,True,False,False,True,False,True,8,0,8,19,8
kubernetes/assets/dashboards/kubernetes_nodes.json,True,False,False,True,False,True,4,0,4,24,3
kubernetes/assets/dashboards/kubernetes_services.json,False,True,True,False,False,False,0,0,0,0,0
kubernetes/assets/dashboards/kubernetes_pods.json,True,False,False,True,False,True,0,0,0,13,12
coredns/assets/dashboards/coredns.json,True,False,False,False,True,True,0,0,0,11,5
sonarqube/assets/dashboards/overview.json,True,True,True,False,True,True,7,0,3,5,4
kube_metrics_server/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
foundationdb/assets/dashboards/foundationdb_latency_probe.json,True,True,True,False,False,False,0,0,0,0,0
foundationdb/assets/dashboards/foundationdb_transactions_and_queues.json,True,False,True,True,False,True,3,0,3,15,15
foundationdb/assets/dashboards/foundationdb_processes_and_utilization.json,True,True,False,False,False,False,0,0,0,7,6
openldap/assets/dashboards/openldap_overview.json,True,True,True,True,False,False,2,0,0,7,7
riak/assets/dashboards/riak_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
proxysql/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
kube_apiserver_metrics/assets/dashboards/overview.json,True,False,False,False,False,True,3,0,0,15,7
cilium/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
cilium/assets/dashboards/overview_v2.json,True,False,False,True,False,True,4,0,0,18,0
weaviate/assets/dashboards/overview_dashboard.json,True,False,False,True,False,False,5,1,0,31,30
kyverno/assets/dashboards/overview.json,True,False,True,True,False,False,1,0,0,25,25
mapreduce/assets/dashboards/mapreduce_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
powerdns_recursor/assets/dashboards/powerdns_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
vertica/assets/dashboards/overview.json,True,True,True,True,False,True,5,0,4,7,7
iis/assets/dashboards/iis_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
iis/assets/dashboards/iis_overview.json,False,True,True,False,False,False,0,0,0,0,0
helm/assets/dashboards/overview.json,True,True,True,False,False,False,0,0,0,0,0
