metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
couchdb.couch_log.level.alert,gauge,,message,,number of logged alert messages,-1,couchdb2,
couchdb.couch_log.level.critical,gauge,,message,,number of logged critical messages,-1,couchdb2,
couchdb.couch_log.level.debug,gauge,,message,,number of logged debug messages,0,couchdb2,
couchdb.couch_log.level.emergency,gauge,,message,,number of logged emergency messages,-1,couchdb2,
couchdb.couch_log.level.error,gauge,,message,,number of logged error messages,-1,couchdb2,
couchdb.couch_log.level.info,gauge,,message,,number of logged info messages,0,couchdb2,
couchdb.couch_log.level.notice,gauge,,message,,number of logged notice messages,0,couchdb2,
couchdb.couch_log.level.warning,gauge,,message,,number of logged warning messages,0,couchdb2,
couchdb.pread.exceed_eof,gauge,,read,,number of the attempts to read beyond end of db file,-1,couchdb2,
couchdb.pread.exceed_limit,gauge,,read,,number of the attempts to read beyond set limit,-1,couchdb2,
couchdb.ddoc_cache.hit,gauge,,hit,,number of design doc cache hits,1,couchdb2,
couchdb.ddoc_cache.miss,gauge,,miss,,number of design doc cache misses,-1,couchdb2,
couchdb.ddoc_cache.recovery,gauge,,read,,number of design doc cache recoveries,0,couchdb2,
couchdb.global_changes.db_writes,gauge,,write,,number of db writes performed by global changes,0,couchdb2,
couchdb.global_changes.event_doc_conflict,gauge,,event,,number of conflicted event docs encountered by global changes,-1,couchdb2,
couchdb.global_changes.listener_pending_updates,gauge,,write,,number of global changes updates pending writes in global_changes_listener,-1,couchdb2,
couchdb.global_changes.rpcs,gauge,,operation,,number of rpc operations performed by global_changes,0,couchdb2,
couchdb.global_changes.server_pending_updates,gauge,,write,,number of global changes updates pending writes in global_changes_server,-1,couchdb2,
couchdb.mem3.shard_cache.eviction,gauge,,eviction,,number of shard cache evictions,-1,couchdb2,
couchdb.mem3.shard_cache.hit,gauge,,hit,,number of shard cache hits,1,couchdb2,
couchdb.mem3.shard_cache.miss,gauge,,miss,,number of shard cache misses,-1,couchdb2,
couchdb.fabric.worker.timeouts,gauge,,timeout,,number of worker timeouts,-1,couchdb2,
couchdb.fabric.read_repairs.success,gauge,,operation,,number of successful read repair operations,1,couchdb2,
couchdb.fabric.read_repairs.failure,gauge,,operation,,number of failed read repair operations,-1,couchdb2,
couchdb.fabric.doc_update.errors,gauge,,error,,number of document update errors,-1,couchdb2,
couchdb.fabric.doc_update.mismatched_errors,gauge,,error,,number of document update errors with multiple error types,-1,couchdb2,
couchdb.fabric.doc_update.write_quorum_errors,gauge,,error,,number of write quorum errors,-1,couchdb2,
couchdb.by_db.file_size,gauge,,byte,,size of the database file on disk,0,couchdb2,
couchdb.by_db.external_size,gauge,,byte,,size of the database uncompressed,0,couchdb2,
couchdb.by_db.active_size,gauge,,byte,,size of live data,0,couchdb2,
couchdb.by_db.purge_seq,gauge,,operation,,number of purge operations on the databse,0,couchdb2,
couchdb.by_db.doc_del_count,gauge,,document,,number of deleted documents,0,couchd2,
couchdb.by_db.doc_count,gauge,,document,,number of documents,0,couchdb2,
couchdb.erlang.message_queues.size,gauge,,,,,0,couchdb2,
couchdb.erlang.stale_proc_count,gauge,,,,,0,couchdb2,
couchdb.erlang.uptime,gauge,,,,,0,couchdb2,
couchdb.erlang.io_input,gauge,,,,,0,couchdb2,
couchdb.erlang.reductions,gauge,,,,,0,couchdb2,
couchdb.erlang.context_switches,gauge,,,,,0,couchdb2,
couchdb.erlang.process_limit,gauge,,,,,0,couchdb2,
couchdb.erlang.words_reclaimed,gauge,,,,,0,couchdb2,
couchdb.erlang.run_queue,gauge,,,,,0,couchdb2,
couchdb.erlang.memory.processes_used,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.ets,gauge,,byte,,,0,couchdb2,
